类别,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,6.7,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
体育,10.6,10.6,10.6,10.6,10.6,10.6,10.6
